code,status,rows,last_date
sh.603858,ok,1942,2025-12-31
sh.603866,ok,1942,2025-12-31
sh.603868,ok,1942,2025-12-31
sh.603877,ok,1941,2025-12-31
sh.603882,ok,1942,2025-12-31
sh.603883,ok,1942,2025-12-31
sh.603885,ok,1942,2025-12-31
sh.603888,ok,1942,2025-12-31
sh.603893,ok,1435,2025-12-31
sh.603899,ok,1942,2025-12-31
sh.603920,ok,1939,2025-12-31
sh.603927,ok,1531,2025-12-31
sh.603939,ok,1875,2025-12-31
sh.603979,ok,1942,2025-12-31
sh.603983,ok,1563,2025-12-31
sh.603986,ok,1898,2025-12-31
sh.603993,ok,1942,2025-12-31
sh.605117,ok,1142,2025-12-31
sh.605358,ok,1286,2025-12-31
sh.605499,ok,1118,2025-12-31
sh.605589,ok,1066,2025-12-31
sh.688002,ok,1566,2025-12-31
sh.688005,ok,1565,2025-12-31
sh.688006,ok,1566,2025-12-31
sh.688008,ok,1566,2025-12-31
sh.688009,ok,1566,2025-12-31
sh.688012,ok,1557,2025-12-18
sh.688017,ok,1296,2025-12-31
sh.688018,ok,1566,2025-12-31
sh.688019,ok,1566,2025-12-31
sh.688027,ok,1328,2025-12-31
sh.688029,ok,1564,2025-12-31
sh.688032,ok,979,2025-12-31
sh.688036,ok,1517,2025-12-31
sh.688041,ok,812,2025-12-31
sh.688047,ok,857,2025-12-31
sh.688052,ok,898,2025-12-31
sh.688063,ok,1214,2025-12-31
sh.688065,ok,1304,2025-12-31
sh.688072,ok,900,2025-12-31
sh.688082,ok,1001,2025-12-31
sh.688088,ok,1566,2025-12-31
sh.688099,ok,1553,2025-12-31
sh.688100,ok,1442,2025-12-31
sh.688105,ok,1004,2025-12-31
sh.688107,ok,1005,2025-12-31
sh.688111,ok,1487,2025-12-31
sh.688114,ok,802,2025-12-31
sh.688116,ok,1520,2025-12-31
sh.688120,ok,869,2025-12-31
sh.688122,ok,1566,2025-12-31
sh.688126,ok,1375,2025-12-31
sh.688153,ok,906,2025-12-31
sh.688166,ok,1493,2025-12-31
sh.688169,ok,1425,2025-12-31
sh.688172,ok,738,2025-12-31
sh.688180,ok,1328,2025-12-31
sh.688183,ok,1179,2025-12-31
sh.688185,ok,1307,2025-12-31
sh.688187,ok,1046,2025-12-31
sh.688188,ok,1553,2025-12-31
sh.688192,ok,985,2025-12-31
sh.688200,ok,1428,2025-12-31
sh.688208,ok,1431,2025-12-31
sh.688213,ok,881,2025-12-31
sh.688220,ok,961,2025-12-31
sh.688223,ok,953,2025-12-31
sh.688234,ok,963,2025-12-31
sh.688235,ok,982,2025-12-31
sh.688248,ok,977,2025-12-31
sh.688249,ok,648,2025-12-31
sh.688256,ok,1325,2025-12-31
sh.688266,ok,1440,2025-12-31
sh.688271,ok,816,2025-12-31
sh.688276,ok,1098,2025-12-31
sh.688278,ok,1444,2025-12-31
sh.688281,ok,930,2025-12-31
sh.688289,ok,1296,2025-12-31
sh.688295,ok,910,2025-12-31
sh.688297,ok,854,2025-12-31
sh.688301,ok,1281,2025-12-31
sh.688303,ok,1079,2025-12-31
sh.688318,ok,1380,2025-12-31
sh.688321,ok,1551,2025-12-31
sh.688322,ok,848,2025-12-31
sh.688331,ok,912,2025-12-31
sh.688336,ok,1323,2025-12-31
sh.688347,ok,574,2025-12-31
sh.688348,ok,869,2025-12-31
sh.688349,ok,859,2025-12-31
sh.688361,ok,638,2025-12-31
sh.688363,ok,1495,2025-12-31
sh.688375,ok,837,2025-12-31
sh.688385,ok,1070,2025-12-31
sh.688387,ok,792,2025-12-31
sh.688390,ok,1291,2025-12-31
sh.688396,ok,1421,2025-12-31
sh.688425,ok,1101,2025-12-31
sh.688469,ok,645,2025-12-31
sh.688472,ok,623,2025-12-31
sh.688475,ok,730,2025-12-31
sh.688506,ok,724,2025-12-31
sh.688516,ok,1365,2025-12-31
sh.688520,ok,1343,2025-12-31
sh.688521,ok,1294,2025-12-31
sh.688525,ok,728,2025-12-31
sh.688536,ok,1260,2025-12-31
sh.688538,ok,1117,2025-12-31
sh.688561,ok,1323,2025-12-31
sh.688563,ok,597,2025-12-31
sh.688567,ok,1319,2025-12-31
sh.688568,ok,1333,2025-12-31
sh.688578,ok,1234,2025-12-31
sh.688582,ok,610,2025-12-31
sh.688599,ok,1351,2025-12-31
sh.688608,ok,1224,2025-12-31
sh.688615,ok,307,2025-12-31
sh.688617,ok,1209,2025-12-31
sh.688629,ok,613,2025-12-31
sh.688676,ok,1171,2025-12-31
sh.688690,ok,1100,2025-12-31
sh.688692,ok,381,2025-12-31
sh.688702,ok,556,2025-12-31
sh.688709,ok,459,2025-12-31
sh.688728,ok,1060,2025-12-31
sh.688772,ok,1025,2025-12-31
sh.688777,ok,1240,2025-12-31
sh.688778,ok,1069,2025-12-31
sh.688779,ok,1065,2025-12-31
sh.688819,ok,1202,2025-12-31
sh.688981,ok,1321,2025-12-31
sh.689009,fail,0,
sz.000002,ok,1942,2025-12-31
sz.000006,ok,1900,2025-12-31
sz.000008,ok,1887,2025-12-31
sz.000009,ok,1942,2025-12-31
sz.000012,ok,1942,2025-12-31
